Round,Overall,Player,Team,Year,Pos,School
27,811,Jacob Voss, Angels,2018,RHP,Creighton
27,811,Kenyon Yovan, Angels,2019,RHP,Oregon
27,812,Josh McMinn, D-backs,2019,RHP,Oral Roberts
27,812,Derrick Adams, Royals,2018,LHP,Jacksonville State
27,813,Jaylen Hubbard, Nationals,2019,3B,Texas State
27,813,Perry DellaValle, Cardinals,2018,RHP,Seton Hill University
27,814,Hunter Lee, Twins,2018,2B,High Point University
27,814,Samson Abernathy, Pirates,2019,RHP,University of the Pacific
27,815,Brady Schanuel, Brewers,2018,RHP,Iowa
27,815,Eric Lex, Cardinals,2019,RHP,Santa Clara University
27,816,Eric Hepple, Rockies,2018,RHP,Central Florida
27,816,Brock Minich, Mariners,2019,RHP,Nova Southeastern University
27,817,Mickey Gasper, Yankees,2018,C,Bryant University
27,817,Indigo Diaz, Braves,2019,RHP,Michigan State
27,818,Niels Stone, Cubs,2018,RHP,Indian River State
27,818,Mitchell Parker, Rays,2019,LHP,San Jacinto College North
27,819,Cameron Enck, Rockies,2019,RHP,Rollins College
27,819,Christian Jayne, D-backs,2018,OF,Terry Sanford HS
27,820,Gregorio Reyes, Red Sox,2018,LHP,No School
27,820,Landy Pena, Guardians,2019,SS,Leadership Christian Academy
27,821,Parker Brahms, Dodgers,2019,RHP,Sacramento State
27,821,Pablo O'Connor, Nationals,2018,2B,Azusa Pacific University
27,822,Cayne Ueckert, Cubs,2019,RHP,McNeese State
27,822,Juan Paulino, Astros,2018,C,Western Oklahoma State
27,823,Gionti Turner, Guardians,2018,SS,Watson Chapel HS
27,823,Zane Zurbrugg, Brewers,2019,OF,Shoreline CC
27,824,Connor Mitchell, Dodgers,2018,LHP,Butler
27,824,Gavin Jones, Athletics,2019,3B,State Fair CC
28,825,Daniel Reyes, Tigers,2018,OF,Miami
27,825,Kyle MacDonald, Yankees,2019,1B,Arkansas State
28,826,Travis Perry, Giants,2018,RHP,Indian River State
27,826,Kevin Dickey, Astros,2019,LHP,Seminole State
28,827,Jonathan Jones, Phillies,2018,RHP,Manvel HS
27,827,Devon Roedahl, Red Sox,2019,RHP,Houston
28,828,Logan Sowers, White Sox,2018,OF,Indiana
28,828,Jonathan Pendergast, Orioles,2019,RHP,Pepperdine University
28,829,Brandt Stallings, Reds,2018,OF,Georgia College
28,829,Riley Boyd, Royals,2019,RHP,Jefferson College
28,830,Mitch Hickey, Mets,2018,RHP,UC San Diego
28,830,Caeden Trenkle, White Sox,2019,OF,Hillsboro HS
28,831,Jake Plastiak, Padres,2018,3B,Victor J Andrew HS
28,831,Lorenzo Hampton, Marlins,2019,OF,Florida International
28,832,Derek West, Braves,2018,RHP,Pittsburgh
28,832,Connor Perry, Tigers,2019,OF,Pittsburgh
28,833,Reid Birlingmair, Athletics,2018,RHP,University of Illinois at Chicago
28,833,Sam Ballard, Padres,2019,LHP,Parkland College
28,834,Nick Patten, Pirates,2018,1B,University of Delaware
28,834,Michael Miles, Reds,2019,RHP,Cumberland County College
28,835,Jake Hoover, Rangers,2019,SS,Hillsdale Col
28,835,Trey Whitley, Orioles,2018,OF,North Johnston HS
28,836,Reese Sharp, Giants,2019,RHP,Noblesville HS
28,836,Andy McGuire, Blue Jays,2018,RHP,Texas
28,837,Gunnar Schubert, Marlins,2018,SS,Gonzaga
28,837,Gabriel Ponce, Blue Jays,2019,RHP,Arizona Western College
28,838,Beau Branton, Mariners,2018,2B,Stanford
28,838,Jake Ortega, Mets,2019,C,CSU Bakersfield
28,839,Travis Phelps, Twins,2019,RHP,Alvin HS
28,839,Renton Poole, Rangers,2018,RHP,Indiana University Kokomo
28,840,Carlos A Francisco, Phillies,2019,RHP,Hillsborough CC
28,840,Tanner Brubaker, Rays,2018,RHP,Saddleback CC
28,841,Mitch Spires, Angels,2018,SS,Winthrop
28,841,Coleman Crow, Angels,2019,RHP,Pike County HS
28,842,Denson Hull, D-backs,2019,LHP,Creighton
28,842,Rhett Aplin, Royals,2018,OF,Florida State
28,843,Justin Toerner, Cardinals,2018,OF,Cal State Northridge
28,843,Jordan Bocko, Nationals,2019,RHP,University of California - Irvine
28,844,Bear Bellomy, Pirates,2019,RHP,Wright State University
28,844,Austin Hale, Twins,2018,C,Stetson University
28,845,Tyler Peck, Cardinals,2019,RHP,Chapman University
28,845,Kekai Rios, Brewers,2018,C,Hawaii
28,846,John Cresto, Rockies,2018,3B,Santa Clara University
28,846,Anthony Lepre, Mariners,2019,C,The Masters University
28,847,Ben Thompson, Braves,2019,RHP,Chandler Gilbert CC
28,847,Max Burt, Yankees,2018,3B,Northeastern
28,848,Mitchell Parker, Cubs,2018,LHP,Manzano HS
28,848,Hill Alexander, Rays,2019,OF,Lubbock Christian
28,849,Marshawn Taylor, D-backs,2018,SS,Grambling State
28,849,Keven Pimentel, Rockies,2019,RHP,University of Tampa
28,850,Serafino Brito, Guardians,2019,RHP,Rutgers
28,850,Kris Jackson, Red Sox,2018,RHP,Corban College
28,851,Blake Chisolm, Nationals,2018,1B,Sam Houston State
28,851,Brennan Milone, Dodgers,2019,3B,Woodstock HS
28,852,Chris Kachmar, Cubs,2019,RHP,Lipscomb University
28,852,Joey Gonzalez, Astros,2018,RHP,Stetson University
28,853,Andre Nnebe, Brewers,2019,OF,Santa Clara University
28,853,Billy Wilson, Guardians,2018,OF,Loyola Marymount University
28,854,Reza Aleaziz, Dodgers,2018,RHP,Oklahoma State
28,854,Wil Jensen, Athletics,2019,RHP,Pepperdine University
29,855,Jeb Bargfeldt, Tigers,2018,LHP,Miami
28,855,Michael Giacone, Yankees,2019,LHP,North Greenville University
29,856,Marcos Campos, Giants,2018,SS,Siena College
28,856,Bryan Arias, Astros,2019,2B,University of Texas - San Antonio
29,857,Jaylen Smith, Phillies,2018,LHP,Copperas Cove HS
28,857,Daniel Bakst, Red Sox,2019,SS,Stanford
29,858,Taylor Varnell, White Sox,2018,LHP,Oral Roberts
29,858,Houston Roth, Orioles,2019,RHP,Ole Miss
29,859,Jonathan Beymer, Royals,2019,RHP,Wabash Valley College
29,859,Johnnie Schneider, Reds,2018,RHP,Palm Beach Atlantic
29,860,Nelson Mompierre, Mets,2018,C,St. Thomas University
29,860,Kaleb Roper, White Sox,2019,RHP,Tulane
29,861,Will Duncan, Padres,2018,RHP,Richardson HS
29,861,John Baker, Marlins,2019,RHP,Ball State
29,862,Ray Hernandez, Braves,2018,3B,Alabama State University
29,862,Elliott Cary, Tigers,2019,OF,Oklahoma City University
29,863,Anthony Nunez, Padres,2019,SS,Miami Springs Sr HS
29,863,Austin Briggs, Athletics,2018,LHP,McNeese State
29,864,Yassel Pino, Reds,2019,1B,South Miami HS
29,864,Giovanni DiGiacomo, Pirates,2018,OF,Canterbury School
29,865,Jared Denning, Orioles,2018,C,Solano JC
29,865,Eli Saul, Rangers,2019,RHP,Prince of Wales SS
29,866,Brooks Crawford, Giants,2019,RHP,Clemson
29,866,Cre Finfrock, Blue Jays,2018,RHP,Central Florida
29,867,C.J. Carter, Marlins,2018,RHP,Troy University
29,867,Owen Diodati, Blue Jays,2019,OF,Stamford Collegiate
29,868,Bobby Honeyman, Mariners,2018,IF,SUNY Stony Brook
29,868,LT Struble, Mets,2019,OF,Felician College
29,869,Glen Richardson, Rangers,2018,RHP,Sinclair CC
29,869,Alex Isola, Twins,2019,C,TCU
29,870,Russ Olive, Rays,2018,1B,UMass Lowell
29,870,Micah Yonamine, Phillies,2019,C,Iolani HS
29,871,Seth Caldwell, Angels,2018,RHP,Oak Ridge HS
29,871,Matthew Woods, Angels,2019,OF,Rowan University
29,872,Andres Nunez, Royals,2018,RHP,Florida International
29,872,Tyler Poulin, D-backs,2019,RHP,Quinnipiac University
29,873,Alerick Soularie, Cardinals,2018,OF,San Jacinto College North
29,873,Brandon Gonzales, Nationals,2019,SS,James Madison HS
29,874,J.T. Perez, Twins,2018,LHP,Cincinnati
29,874,Marshall Gilbert, Pirates,2019,C,Mississippi St U
29,875,Scott Politz, Cardinals,2019,RHP,Yale
29,875,Nander De Sedas, Brewers,2018,SS,Montverde Academy
29,876,Utah Jones, Mariners,2019,SS,North Greenville University
29,876,Miguel Ausua, Rockies,2018,LHP,Oral Roberts
29,877,James Acuna, Braves,2019,RHP,Azusa Pacific
29,877,Jackson Bertsch, Yankees,2018,RHP,Liberty University
29,878,Zach Bravo, Rays,2019,RHP,Butler County CC
29,878,Levi Jordan, Cubs,2018,3B,Washington
29,879,Colin Simpson, Rockies,2019,C,Oklahoma State
29,879,Luke Bartnicki, D-backs,2018,LHP,Walton HS
29,880,Nathan Ocker, Guardians,2019,RHP,College of Charleston
29,880,Mason Ronan, Red Sox,2018,LHP,Penn Cambria HS
29,881,Colton Pogue, Nationals,2018,SS,Pittsburg State University
29,881,Breyln Jones, Dodgers,2019,RHP,Rutherford HS
29,882,Lyle Lin, Astros,2018,C,Arizona State
29,882,Jake Washer, Cubs,2019,C,East Carolina
29,883,Tim Herrin, Guardians,2018,LHP,Indiana
29,883,Jackie Urbaez, Brewers,2019,2B,St. Thomas University
29,884,Michael Woodworth, Athletics,2019,2B,Connecticut
29,884,Dan Robinson, Dodgers,2018,OF,Central Michigan
30,885,Jared Tobey, Tigers,2018,LHP,Wayne State
29,885,Chase Illig, Yankees,2019,C,West Virginia
30,886,Kwan Adkins, Giants,2018,OF,Northwestern State
29,886,Whit Drennan, Astros,2019,LHP,Rollins College
30,887,Brandon Ramey, Phillies,2018,RHP,Martin Luther King HS
29,887,Luke Bandy, Red Sox,2019,OF,Dallas Baptist
30,888,Micah Coffey, White Sox,2018,SS,Minnesota
30,888,Dalton Stambaugh, Orioles,2019,LHP,Morehead State
30,889,Jimmy Govern, Royals,2019,3B,Eastern Illinois
30,889,Jake Wyrick, Reds,2018,LHP,Middle Tennessee State
30,890,Daniel Millwee, White Sox,2019,C,High Point University
30,890,Chandler Avant, Mets,2018,2B,Alabama
30,891,Joey Steele, Marlins,2019,RHP,University of San Francisco
30,891,Cullen Dana, Padres,2018,LHP,Seton Hall
30,892,Cordell Dunn, Tigers,2019,C,Grayson County College
30,892,Mitch Stallings, Braves,2018,LHP,Duke
30,893,Gio Dingcong, Athletics,2018,1B,St. Thomas Aquinas College
30,893,Ripken Reyes, Padres,2019,2B,University of San Diego
30,894,Ryan Leitch, Reds,2019,C,Sinclair SS
30,894,Jack Herman, Pirates,2018,OF,Eastern HS
30,895,Anthony Hoopii-Tuionetoa, Rangers,2019,RHP,Pierce College
30,895,Tyler Joyner, Orioles,2018,RHP,University of North Alabama
30,896,Justin Crump, Giants,2019,RHP,UNC Wilmington
30,896,Cobi Johnson, Blue Jays,2018,RHP,Florida State
30,897,Noah Myers, Blue Jays,2019,OF,Wabash Valley College
30,897,Garrett McDaniels, Marlins,2018,LHP,Pee Dee Academy
30,898,Cody Staab, Mariners,2018,OF,Rice
30,898,Justin Lasko, Mets,2019,RHP,U Massachusetts Amherst
30,899,Tyler Beck, Twins,2019,RHP,U Tampa
30,899,Evan Reifert, Rangers,2018,RHP,North Iowa Area CC
30,900,Dylan Castaneda, Phillies,2019,RHP,Salisbury School
30,900,Eric Cerantola, Rays,2018,RHP,Ecole Secondaire Catholique Sainte-Trinite
30,901,Andrew Bash, Angels,2019,RHP,California Baptist University
30,901,Connor Higgins, Angels,2018,LHP,Arizona State
30,902,Will Childers, D-backs,2019,RHP,Lakeside HS
30,902,Kyle Kasser, Royals,2018,2B,Oregon
30,903,Kendrick Calilao, Cardinals,2018,OF,The First Academy
30,903,Troy Stainbrook, Nationals,2019,LHP,Biola University
30,904,Seth Halvorsen, Twins,2018,RHP,Heritage Christian Academy
30,904,Dawson McCarville, Pirates,2019,RHP,Glendale CC
30,905,Cameron Dulle, Cardinals,2019,RHP,Missouri
30,905,Basilio Pacheco, Brewers,2018,LHP,Segerstrom HS
30,906,Cody Grosse, Mariners,2019,SS,Southeastern Louisiana University
30,906,Colton Harlow, Rockies,2018,LHP,James Madison University
30,907,Mitch Calandra, Braves,2019,C,Eckerd College
30,907,Tyler Johnson, Yankees,2018,RHP,Gardner-Webb University
30,908,Michael Carpentier, Rays,2019,C,Yucaipa HS
30,908,Drew Wharton, Cubs,2018,OF,Clemson
30,909,Devin Warner, D-backs,2018,OF,Cartersville HS
30,909,Alex Achtermann, Rockies,2019,RHP,Pittsburg State University
30,910,Jonathan French, Guardians,2019,C,Parkview HS
30,910,Ryan Bliss, Red Sox,2018,SS,Troup County HS
30,911,Josh Ibarra, Dodgers,2019,RHP,Golden West College
30,911,Tre Vickers, Nationals,2018,SS,Wichita State
30,912,Bryan King, Cubs,2019,LHP,McNeese State
30,912,Layne Henderson, Astros,2018,RHP,Azusa Pacific University
30,913,Peyton Long, Brewers,2019,RHP,Central Methodist University
30,913,Connor Smith, Guardians,2018,SS,Western Michigan
30,914,Matt Cogen, Dodgers,2018,OF,Belmont University
30,914,Edward Baram, Athletics,2019,RHP,Adelphi University
31,915,Jayce Vancena, Tigers,2018,RHP,Michigan
30,915,Zach Maxwell, Yankees,2019,RHP,North Paulding HS
31,916,Ryan Walker, Giants,2018,RHP,Washington State
30,916,Michael Horrell, Astros,2019,RHP,Campbell University
31,917,Tyler Carr, Phillies,2018,RHP,University of South Alabama
30,917,Nathan Martorella, Red Sox,2019,1B,Salinas HS
31,918,Austin Conway, White Sox,2018,RHP,Louisville
31,918,Jake Prizina, Orioles,2019,LHP,Seattle University
31,919,Mikey Filia, Royals,2019,OF,University of California - Irvine
31,919,Justin McGregor, Reds,2018,RHP,Oral Roberts
31,920,Brendan Hardy, Mets,2018,RHP,Harrison Central HS
31,920,Connor Reich, White Sox,2019,RHP,Texas State
31,921,Jake Sims, Padres,2018,RHP,Saint Leo University
31,921,Parker Noland, Marlins,2019,3B,Farragut HS
31,922,Bryce Tassin, Tigers,2019,RHP,Southeastern Louisiana University
31,922,Gabriel Rodriguez, Braves,2018,LHP,Miami Dade CC South
31,923,Jason Nelson, Padres,2019,RHP,Central Arizona College
31,923,Alex Pantuso, Athletics,2018,RHP,Slippery Rock University
31,924,Chase Lambert, Pirates,2018,SS,Pepperdine University
31,924,Justin Gomez, Reds,2019,C,Azusa Pacific U
31,925,Hunter Bryan, Rangers,2019,SS,Redwood HS
31,925,John Ham, Orioles,2018,SS,Tennessee Tech
31,926,Austin Easter, Blue Jays,2018,RHP,UNC Wilmington
31,926,Tyler Wyatt, Giants,2019,3B,Grand Canyon University
31,927,Blake Sanderson, Blue Jays,2019,RHP,Florida Atlantic
31,927,Stephen Scott, Marlins,2018,C,Vanderbilt
31,928,Andrew Edwards, Mets,2019,LHP,New Mexico State
31,928,Rigo Beltran, Mariners,2018,LHP,Lynn University
31,929,Ryan Anderson, Rangers,2018,OF,University of California - Davis
31,929,Max Smith, Twins,2019,OF,UNLV
31,930,Shane Murphy, Phillies,2019,LHP,Hamilton HS
31,930,Michael Costanzo, Rays,2018,LHP,Austin Peay
31,931,Mitchell Miller, Angels,2018,LHP,Clemson
31,931,Spencer Jones, Angels,2019,OF,La Costa Canyon HS
31,932,William Hancock, Royals,2018,C,Central Arkansas
31,932,Jerrion Ealy, D-backs,2019,OF,Jackson Prep School
31,933,Ty Cohen, Cardinals,2018,RHP,Florida Tech
31,933,Brady Stover, Nationals,2019,LHP,South Dakota State
31,934,Josh Bissonette, Pirates,2019,SS,Baylor
31,934,Zach Neff, Twins,2018,LHP,Mississippi State
31,935,Dylan Pearce, Cardinals,2019,RHP,Oregon State
31,935,Matt Dillard, Brewers,2018,LHP,St. Pius X HS
31,936,Joel Condreay, Rockies,2018,RHP,Whitworth University
31,936,Jacob Meador, Mariners,2019,RHP,Centennial HS
31,937,Greg Leban, Braves,2019,RHP,Austin Peay
31,937,Pat Winkel, Yankees,2018,C,Amity Regional HS
31,938,Brannon Jordan, Rays,2019,RHP,Cowley County CC
31,938,Clayton Daniel, Cubs,2018,2B,Jacksonville State
31,939,Daniel Wasinger, D-backs,2018,C,Southeastern Louisiana University
31,939,Michael Curialle, Rockies,2019,3B,JSerra Catholic HS
31,940,Jared Janczak, Guardians,2019,RHP,TCU
31,940,Connor Berry, Red Sox,2018,RHP,Oklahoma
31,941,Jonathan Quintana, Nationals,2018,OF,Barry University
31,941,Kayle Yates, Dodgers,2019,SS,Dixie HS
31,942,Shane Combs, Cubs,2019,RHP,Notre Dame
31,942,Riley Cabral, Astros,2018,RHP,Memphis
31,943,Jonathan Engelmann, Guardians,2018,OF,Michigan
31,943,Jonathan Jones, Brewers,2019,RHP,San Jacinto College North
31,944,Matthew Koehler, Athletics,2019,OF,Western Carolina
31,944,Andrew Shaps, Dodgers,2018,LHP,William Jessup University
32,945,Clark Brinkman, Tigers,2018,OF,Creighton
31,945,Chad Knight, Yankees,2019,C,Staples HS
32,946,Braden Frankfort, Giants,2018,C,Fresno Pacific
31,946,Peyton Plumlee, Astros,2019,RHP,Mississippi State
32,947,Ben Aklinski, Phillies,2018,OF,Kentucky
31,947,Feleipe Franks, Red Sox,2019,RHP,Florida
32,948,Aaron Soto, White Sox,2018,LHP,Florida International
32,948,Harris Yett, Orioles,2019,C,UNC Charlotte
32,949,Saul Garza, Royals,2019,C,LSU
32,949,Edward Guzman, Reds,2018,C,Leadership Christian Academy
32,950,Jake Mangum, Mets,2018,OF,Mississippi State
32,950,Jonathan Allen, White Sox,2019,OF,University of San Francisco
32,951,Josh Simpson, Marlins,2019,LHP,Columbia
32,951,Cody Tyler, Padres,2018,LHP,Wichita State
32,952,Trey Harris, Braves,2018,OF,Missouri
32,952,Jack Dellinger, Tigers,2019,RHP,Virginia Tech
32,953,John Jones, Athletics,2018,C,North Greenville University
32,953,Jason Reynolds, Padres,2019,RHP,Lehigh
32,954,Dan Serreino, Reds,2019,RHP,Rowan University
32,954,Dean Lockery, Pirates,2018,2B,Central Connecticut State University
32,955,Jayvien Sandridge, Orioles,2018,LHP,Mercersburg Academy
32,955,Michael Brewer, Rangers,2019,RHP,Hillsboro HS
32,956,Joey Pulido, Blue Jays,2018,RHP,Houston
32,956,Dylan Brewer, Giants,2019,OF,Latta HS
32,957,Braden Halladay, Blue Jays,2019,RHP,Calvary Christian HS
32,957,Jake Norton, Marlins,2018,RHP,Stephen F. Austin
32,958,Cole Gordon, Mets,2019,RHP,Mississippi State
32,958,Zach Scott, Mariners,2018,2B,Saint Leo University
32,959,Bryson Gandy, Twins,2019,OF,Lurleen B Wallace St JC
32,959,Owen Sharts, Rangers,2018,RHP,Simi Valley HS
32,960,Kaleo Johnson, Rays,2018,IF,Montana State University Billings
32,960,Logan Koester, Phillies,2019,RHP,Chaminade HS
32,961,Jared Janczak, Angels,2018,RHP,TCU
32,961,Chase Walter, Angels,2019,RHP,Western Carolina
32,962,Brhet Bewley, Royals,2018,IF,University of San Diego
32,962,Luke Waddell, D-backs,2019,3B,Georgia Tech
32,963,Dylan Beasley, Nationals,2019,RHP,Berry College
32,963,Brandon Purcell, Cardinals,2018,C,Georgia College
32,964,Ryan Holgate, Twins,2018,OF,Davis Senior HS
32,964,Jake Wright, Pirates,2019,OF,Coastal Carolina U
32,965,Jonny Cuevas, Brewers,2018,RHP,Palm Desert HS
32,965,Chandler Redmond, Cardinals,2019,3B,Gardner-Webb University
32,966,Reagan Todd, Rockies,2018,LHP,Colorado Mesa University
32,966,Jackson Tate, Mariners,2019,OF,Lawson State CC
32,967,Cody Birdsong, Braves,2019,2B,Quincy University
32,967,Sincere Smith, Yankees,2018,SS,East Bladen HS
32,968,Jack Patterson, Cubs,2018,LHP,Bryant University
32,968,Kody Huff, Rays,2019,C,Horizon HS
32,969,Tyler Nesbitt, Rockies,2019,RHP,Labelle HS
32,969,Austin Bergner, D-backs,2018,RHP,North Carolina
32,970,Bramdon Perez, Red Sox,2018,OF,Miami Beach HS
32,970,Andrew Misiaszek, Guardians,2019,LHP,Northeastern
32,971,Danny Sinatro, Dodgers,2019,OF,Washington State
32,971,Alec Maley, Nationals,2018,RHP,Kentucky
32,972,Bryce Windham, Cubs,2019,C,Old Dominion
32,972,Jacob Billingsley, Astros,2018,RHP,Mississippi State
32,973,Andrew Eyster, Guardians,2018,OF,Santa Fe CC
32,973,Jeferson Figueroa, Brewers,2019,RHP,Florida Virtual School
32,974,Jacob Gilliland, Dodgers,2018,RHP,Next Level Academy
32,974,Marty Bechina, Athletics,2019,2B,Michigan State
33,975,Justin Childers, Tigers,2018,1B,Ohio Dominican University
32,975,Ethan Hoopingarner, Yankees,2019,RHP,Aliso Niguel HS
33,976,Austin Edgette, Giants,2018,OF,Bloomsburg University
32,976,Oscar Carvajal, Astros,2019,RHP,Fresno State
33,977,Jake Kinney, Phillies,2018,RHP,Tallahassee CC
32,977,Bradley Blalock, Red Sox,2019,RHP,Grayson HS
33,978,Craig Lewis, Orioles,2019,OF,Seton Hill University
33,978,Bryce Bush, White Sox,2018,3B,De La Salle Collegiate HS
33,979,Luis Lopez, Reds,2018,SS,Ramon Quinones Medina
33,979,Patrick Smith, Royals,2019,LHP,Purdue
33,980,Mike Picollo, Mets,2018,RHP,Blue Valley North HS
33,980,Trey Jeans, White Sox,2019,LHP,University of Louisiana - Monroe
33,981,Zachary Owings, Marlins,2019,1B,Eastern Michigan
33,981,Rainie Aguilar, Padres,2018,C,University of Redlands
33,982,Mason Berne, Braves,2018,1B,UNC Wilmington
33,982,Jimmy Kerr, Tigers,2019,3B,U Michigan
33,983,Joseph Pena, Athletics,2018,SS,St. Thomas Aquinas College
33,983,Keegan Pulford-Thorpe, Padres,2019,LHP,Newmarket HS
33,984,T.J. Clarkson, Reds,2019,1B,Mesquite HS
33,984,Joe Jacques, Pirates,2018,LHP,Manhattan College
33,985,Zach McLeod, Orioles,2018,SS,Colorado Mesa University
33,985,Spencer Mraz, Rangers,2019,RHP,Miami University
33,986,Nolan Dempsey, Giants,2019,2B,Fresno State
33,986,Matt Harris, Blue Jays,2018,RHP,Florida Atlantic
33,987,Andrew Martinez, Marlins,2018,SS,UC Santa Barbara
33,987,Daniel Batcher, Blue Jays,2019,LHP,George Jenkins HS
33,988,Penn Murfee, Mariners,2018,RHP,Santa Clara University
33,988,Cole Kleszcz, Mets,2019,OF,Azusa Pacific University
33,989,Kyle Schmidt, Twins,2019,C,Richmond
33,989,Reynaldo Pichardo, Rangers,2018,C,Dawson CC
33,990,Beau Brundage, Rays,2018,OF,University of Portland
33,990,Thomas Little, Phillies,2019,LHP,Vauxhall HS
33,991,Wade Bailey, Angels,2018,2B,Georgia Tech
33,991,Justin Kunz, Angels,2019,C,Gardner-Webb University
33,992,Ted Cillis, Royals,2018,LHP,Hofstra
33,992,Phillip Sikes, D-backs,2019,OF,Pima CC
33,993,Cutter Clawson, Nationals,2019,LHP,Laguna Beach HS
33,993,Chris Rivera, Cardinals,2018,RHP,Long Beach State
33,994,Ernny Ordonez, Pirates,2019,3B,Central Arizona College
33,994,Denny Bentley, Twins,2018,LHP,Howard College
33,995,Anthony Green, Cardinals,2019,RHP,Jefferson College
33,995,Brandon Hylton, Brewers,2018,1B,Ridge HS
33,996,Nick Pogue, Rockies,2018,RHP,Eau Gallie HS
33,996,Jarod Bayless, Mariners,2019,RHP,Dallas Baptist
33,997,Charlie Ruegger, Yankees,2018,RHP,Stevens Inst of Tech
33,997,Justin Yeager, Braves,2019,RHP,Southern Illinois University Carbondale
33,998,Tyler Ras, Cubs,2018,RHP,Middletown North HS
33,998,Carson Coleman, Rays,2019,RHP,Kentucky
33,999,Hunter Fitz-Gerald, Rockies,2019,3B,Stoneman Douglas HS
33,999,Jeremy Ydens, D-backs,2018,OF,UCLA
33,1000,Adrian Torres, Red Sox,2018,OF,Americas HS
33,1000,Kevin Coulter, Guardians,2019,RHP,Mercer
33,1001,Jack Haney, Nationals,2018,C,Cedartown HS
33,1001,Julio Carrion, Dodgers,2019,3B,Chipola College
33,1002,J.C. Correa, Astros,2018,C,Alvin CC
33,1002,Ryan Ritter, Cubs,2019,SS,Lincoln Way East HS
33,1003,Kevin Hardin, Brewers,2019,1B,Maplewoods CC
33,1003,Daniel Schneemann, Guardians,2018,2B,BYU
33,1004,Drew Avans, Dodgers,2018,OF,Southeastern Louisiana University
33,1004,Charles Hall, Athletics,2019,RHP,Tusculum College
34,1005,Vinny Esposito, Tigers,2018,OF,Sacramento State
33,1005,Javier Reynoso, Yankees,2019,SS,Colegio Angel David HS
34,1006,Lucas Krull, Giants,2018,LHP,Jefferson College
33,1006,Bryan Martinez, Astros,2019,LHP,Connors State
34,1007,Nick Matera, Phillies,2018,C,Rutgers
33,1007,Thayer Thomas, Red Sox,2019,OF,North Carolina State
34,1008,Alec Valenzuela, White Sox,2018,C,Great Oak HS
34,1008,Zach Arnold, Orioles,2019,SS,Great Oak HS
34,1009,Justin Fall, Royals,2019,LHP,Brookdale CC
34,1009,Cory Heitler, Reds,2018,RHP,Ramapo College
34,1010,Chase Krogman, White Sox,2019,OF,Liberty Senior HS
34,1010,Duke Kinamon, Mets,2018,SS,Stanford
34,1011,George Arias Jr., Padres,2018,RHP,Tucson High Magnet School
34,1011,Brock Love, Marlins,2019,RHP,Alabama
34,1012,Zack Hess, Braves,2018,RHP,LSU
34,1012,Sam Kessler, Tigers,2019,RHP,West Virginia
34,1013,Nick Ward, Athletics,2018,SS,West Chester University
34,1013,Bryant Salgado, Padres,2019,RHP,San Jacinto College North
34,1014,Davis Sharpe, Pirates,2018,RHP,Mill Creek HS
34,1014,Jason Hodges, Reds,2019,OF,Marist HS
34,1015,Nick Yoder, Rangers,2019,RHP,Rowan College at Gloucester County
34,1015,Trey Truitt, Orioles,2018,OF,Mercer
34,1016,Morgan Colopy, Giants,2019,OF,Centerville HS
34,1016,Grant Townsend, Blue Jays,2018,RHP,Oral Roberts
34,1017,Joe Strzelecki, Marlins,2018,RHP,Nova Southeastern University
34,1017,Luis Quinones, Blue Jays,2019,RHP,San Jacinto College North
34,1018,Nick Wegmann, Mariners,2018,LHP,SUNY - Binghampton
34,1018,Ryan Shinn, Mets,2019,OF,Kentucky
34,1019,Antoine Harris, Twins,2019,RHP,Chalmette HS
34,1019,Noah Burkholder, Rangers,2018,RHP,Waubonsee CC
34,1020,Jalen Battles, Phillies,2019,SS,McLennan CC
34,1020,Dawson Dimon, Rays,2018,C,Quartz Hill HS
34,1021,Paul McIntosh, Angels,2018,C,Motlow State CC
34,1021,Ridge Chapman, Angels,2019,RHP,South Carolina
34,1022,Ty Madden, Royals,2018,RHP,Cypress Ranch HS
34,1022,Luke Bell, D-backs,2019,RHP,Seton Catholic HS
34,1023,Benito Santiago, Cardinals,2018,C,Tennessee
34,1023,Anthony Gomez, Nationals,2019,2B,University of Texas Rio Grande Valley
34,1024,Dylan Shockley, Pirates,2019,C,University of Rio Grande
34,1024,Dylan Stowell, Twins,2018,RHP,California Baptist University
34,1025,Ben Baird, Cardinals,2019,RHP,Washington
34,1025,Michael Mediavilla, Brewers,2018,LHP,Miami
34,1026,Jake Moberg, Rockies,2018,3B,Vista Murrieta HS
34,1026,Christian Encarnacion-Strand, Mariners,2019,3B,Yavapai College
34,1027,Willie Carter, Braves,2019,OF,Webber International U
34,1027,Matt McGarry, Yankees,2018,2B,Belmont Abbey College
34,1028,Miguel Pabon, Cubs,2018,SS,Leadership Christian Academy
34,1028,Carter Bach, Rays,2019,LHP,Wake Forest
34,1029,Tanner Allen, Rockies,2019,OF,Mississippi State
34,1029,Wacy Crenshaw, D-backs,2018,OF,Glendale CC
34,1030,Alec Wisely, Guardians,2019,RHP,South Florida
34,1030,Jared Poland, Red Sox,2018,RHP,Cathedral HS
34,1031,Francisco Martinez, Dodgers,2019,LHP,Puerto Rico Baseball Academy
34,1031,Tyler Baca, Nationals,2018,OF,The Linfield School
34,1032,Ben Gross, Astros,2018,RHP,Princeton
34,1032,Nolan Letzgus, Cubs,2019,RHP,Heritage HS
