Round,Overall,Player,Team,Year,Pos,School
2,72,Robert Moore, Brewers,2022,2B,Arkansas
2,72,Alex Santos II, Astros,2020,RHP,Mount Saint Michael Academy
3,73,Trei Cruz, Tigers,2020,SS,Rice
3,73,Cameron Cauley, Rangers,2021,SS,Barbers Hill HS
2,73,Logan Driscoll, Padres,2019,C,George Mason
2,73,Justin Boyd, Reds,2022,OF,Oregon State
2,73,Micah Bello, Brewers,2018,OF,Hilo HS
3,74,Dylan Smith, Tigers,2021,RHP,Alabama
3,74,Anthony Servideo, Orioles,2020,SS,Ole Miss
2,74,Tommy Henry, D-backs,2019,LHP,Michigan
2,74,Walter Ford, Mariners,2022,RHP,Pace HS
2,74,Grant Little, Padres,2018,OF,Texas Tech
3,75,Tyler McDonough, Red Sox,2021,OF,NC State
3,75,Zach McCambley, Marlins,2020,RHP,Coastal Carolina
2,75,Luken Baker, Cardinals,2018,1B,TCU
2,75,Nick Morabito, Mets,2022,SS,Gonzaga College HS
2,75,Dominic Fletcher, D-backs,2019,OF,Arkansas
3,76,Tyler Gentry, Royals,2020,OF,Alabama
3,76,John Rhodes, Orioles,2021,OF,Kentucky
2,76,Isaiah Campbell, Mariners,2019,RHP,Arkansas
2,76,Mitchell Kilkenny, Rockies,2018,RHP,Texas A&M
2,76,Blake Burkhalter, Braves,2022,RHP,Auburn
3,77,Jacob Steinmetz, D-backs,2021,RHP,ELEV8 Baseball Academy
3,77,Trent Palmer, Blue Jays,2020,RHP,Jacksonville University
2,77,Karl Kauffmann, Rockies,2019,RHP,Michigan
2,77,Cole Roederer, Cubs,2018,OF,Hart HS
2,77,Tucker Toman, Blue Jays,2022,SS,Hammond School
3,78,Kaden Polcovich, Mariners,2020,2B,Oklahoma State
3,78,Carter Jensen, Royals,2021,C,Park Hill Senior HS
2,78,Paul Richan, Cubs,2018,RHP,University of San Diego
2,78,Jimmy Lewis, Dodgers,2019,RHP,Lake Travis HS
2,78,Cade Doughty, Blue Jays,2022,2B,LSU
3,79,McCade Brown, Rockies,2021,RHP,Indiana
3,79,Zach Watson, Orioles,2019,OF,LSU
3,79,Nick Garcia, Pirates,2020,RHP,Chapman University
3,79,Kody Clemens, Tigers,2018,1B,Texas
2,79,Roman Anthony, Red Sox,2022,OF,Marjory Stoneman Douglas HS
3,80,Jake Wong, Giants,2018,RHP,Grand Canyon University
3,80,Landon Marceaux, Angels,2021,RHP,LSU
3,80,Grant Gambrell, Royals,2019,RHP,Oregon State
3,80,Cole Wilcox, Padres,2020,RHP,Georgia
2,80,Andrew Taylor, Astros,2022,RHP,Central Michigan
3,81,Konnor Pilkington, White Sox,2018,LHP,Mississippi State
3,81,Nolan McLean, Orioles,2022,3B,Oklahoma State
3,81,Sam Weatherly, Rockies,2020,LHP,Clemson
3,81,Andrew Dalquist, White Sox,2019,RHP,Redondo Union HS
3,81,Dominic Hamel, Mets,2021,RHP,Dallas Baptist
3,82,Peyton Burdick, Marlins,2019,OF,Wright State University
3,82,David Calabrese, Angels,2020,OF,St. Elizabeth Catholic HS
3,82,Bren Spillane, Reds,2018,OF,University of Illinois
3,82,Branden Boissiere, Nationals,2021,1B,Arizona
3,82,Nate Savino, D-backs,2022,LHP,Virginia
3,83,Michael Morales, Mariners,2021,RHP,East Pennsboro HS
3,83,Andre Lipcius, Tigers,2019,2B,Tennessee
3,83,Carlos Cortes, Mets,2018,OF,South Carolina
3,83,Adisyn Coffey, White Sox,2020,RHP,Wabash Valley College
3,83,Jack Brannigan, Pirates,2022,3B,Notre Dame
3,84,Trey Lipscomb, Nationals,2022,3B,Tennessee
3,84,Bryce Bonnin, Reds,2020,RHP,Texas Tech
3,84,Owen Miller, Padres,2018,2B,Illinois State
3,84,Jordan Viars, Phillies,2021,OF,Rick Reedy HS
3,84,Hudson Head, Padres,2019,OF,Winston Churchill HS
3,85,Mason Black, Giants,2021,RHP,Lehigh
3,85,Tyler Callihan, Reds,2019,2B,Providence School of Jacksonville
3,85,Hogan Harris, Athletics,2018,LHP,University of Louisiana - Lafayette
3,85,Karson Milbrandt, Marlins,2022,RHP,Liberty Senior HS
3,85,Kyle Harrison, Giants,2020,LHP,De La Salle HS
3,86,Christopher Paciolla, Cubs,2022,SS,Temecula Valley HS
3,86,Connor Kaiser, Pirates,2018,SS,Vanderbilt
3,86,Alex Binelas, Brewers,2021,3B,Louisville
3,86,Tekoah Roby, Rangers,2020,RHP,Pine Forest HS
3,86,Justin Slaten, Rangers,2019,RHP,New Mexico
3,87,Casey Martin, Phillies,2020,2B,Arkansas
3,87,Tyler Whitaker, Astros,2021,OF,Bishop Gorman HS
3,87,Blaine Knight, Orioles,2018,RHP,Arkansas
3,87,Grant McCray, Giants,2019,OF,Lakewood Ranch HS
3,87,Mason Barnett, Royals,2022,RHP,Auburn
3,88,Jordan Nwogu, Cubs,2020,OF,Michigan
3,88,Carson Palmquist, Rockies,2022,LHP,Miami
3,88,Dasan Brown, Blue Jays,2019,OF,Abbey Park HS
3,88,Adam Kloffenstein, Blue Jays,2018,RHP,Magnolia HS
3,88,Jordan McCants, Marlins,2021,SS,Pensacola Catholic HS
3,89,Tristan Pompey, Marlins,2018,OF,Kentucky
3,89,Ben Joyce, Angels,2022,RHP,Tennessee
3,89,Jose Torres, Reds,2021,SS,NC State
3,89,Blaze Jordan, Red Sox,2020,3B,DeSoto Central HS
3,89,Matt Allan, Mets,2019,RHP,Seminole HS
3,90,Cal Raleigh, Mariners,2018,C,Florida State
3,90,Brandon Sproat, Mets,2022,RHP,Florida
3,90,Liam Norris, D-backs,2020,LHP,Green Hope HS
3,90,Austin Love, Cardinals,2021,RHP,North Carolina
3,90,Spencer Steer, Twins,2019,3B,Oregon
3,91,Jamari Baylor, Phillies,2019,SS,Benedictine School
3,91,Henry Williams, Padres,2022,RHP,Duke
